"name","category","description","website","status","updatedAt"
"Filmora AI","AI Video","Consumer-friendly video editor with AI cutout, captions, and content generation tools.","https://filmora.wondershare.com","curated-trending","2026-03-15"
"Descript Rooms","AI Video","Collaborative production workflows with transcript-first editing and publishing.","https://www.descript.com","curated-trending","2026-03-15"
"Topaz Video AI","AI Video","AI-powered video enhancement, interpolation, and restoration software.","https://www.topazlabs.com/topaz-video-ai","curated-trending","2026-03-15"
"Viggle","AI Video","Animation and motion transfer workflows for short-form creator content.","https://viggle.ai","curated-trending","2026-03-15"
"GitLab Duo","AI Code","AI coding and DevSecOps assistant integrated across GitLab workflows.","https://about.gitlab.com/gitlab-duo/","curated-trending","2026-03-15"
"Amazon Q Developer","AI Code","Coding assistant for AWS-centric development, operations, and cloud troubleshooting.","https://aws.amazon.com/q/developer/","curated-trending","2026-03-15"
"Sourcegraph Cody","AI Code","Codebase-aware AI assistant for large repositories and enterprise developer teams.","https://sourcegraph.com/cody","curated-trending","2026-03-15"
"JetBrains AI Assistant","AI Code","Native AI coding support inside JetBrains IDEs for completion, docs, and refactors.","https://www.jetbrains.com/ai/","curated-trending","2026-03-15"
"Aider","AI Code","Terminal-based pair programming tool for repository-aware code editing with LLMs.","https://aider.chat","curated-trending","2026-03-15"
"Continue","AI Code","Open-source coding assistant extension for IDE workflows with configurable models.","https://continue.dev","curated-trending","2026-03-15"
"CodeRabbit","AI Code","AI reviewer for pull requests focused on correctness, maintainability, and clarity.","https://www.coderabbit.ai","curated-trending","2026-03-15"
"Greptile","AI Code","Code review and reasoning assistant designed for large, evolving codebases.","https://www.greptile.com","curated-trending","2026-03-15"
"MutableAI","AI Code","AI coding support for drafting, refactoring, and understanding complex code flows.","https://mutable.ai","curated-trending","2026-03-15"
"Pieces Copilot","AI Code","Developer memory and snippet intelligence assistant for coding workflows.","https://pieces.app","curated-trending","2026-03-15"
"Speechmatics","AI Voice","Speech-to-text platform focused on enterprise-grade multilingual transcription.","https://www.speechmatics.com","curated-trending","2026-03-15"
"AssemblyAI","AI Voice","Speech AI APIs for transcription, summarization, and audio intelligence applications.","https://www.assemblyai.com","curated-trending","2026-03-15"
"Deepgram","AI Voice","Voice AI platform for low-latency speech recognition and conversational agents.","https://deepgram.com","curated-trending","2026-03-15"
"Rev AI","AI Voice","Speech recognition APIs for transcription and captioning workflows.","https://www.rev.ai","curated-trending","2026-03-15"
"Resemble AI","AI Voice","Voice generation and synthetic speech tools for product and media use cases.","https://www.resemble.ai","curated-trending","2026-03-15"
"PlayHT","AI Voice","Voice synthesis platform for creators, narrators, and conversational experiences.","https://play.ht","curated-trending","2026-03-15"
"WellSaid Labs","AI Voice","Professional voice generation focused on training, narration, and internal media.","https://wellsaidlabs.com","curated-trending","2026-03-15"
"Rask AI","AI Voice","AI dubbing and localization platform for multilingual video publishing.","https://www.rask.ai","curated-trending","2026-03-15"
"Whisper API","AI Voice","Speech transcription workflows using OpenAI Whisper-based pipelines.","https://platform.openai.com/docs/guides/speech-to-text","curated-trending","2026-03-15"
"Scribe Audio","AI Voice","Transcription and note extraction workflows for meetings and interviews.","https://www.scribe.ai","curated-trending","2026-03-15"
"Monday AI","AI Productivity","AI support for work management, project updates, and collaboration planning.","https://monday.com/ai","curated-trending","2026-03-15"
"Asana AI","AI Productivity","Project intelligence features for planning, status updates, and execution support.","https://asana.com/ai","curated-trending","2026-03-15"
"Todoist AI Assistant","AI Productivity","Task planning and prioritization assistance inside productivity workflows.","https://todoist.com","curated-trending","2026-03-15"
"Motion","AI Productivity","AI calendar and scheduling platform that auto-plans work across priorities.","https://www.usemotion.com","curated-trending","2026-03-15"
"Clockwise","AI Productivity","Calendar optimization assistant that protects focus time for teams.","https://www.getclockwise.com","curated-trending","2026-03-15"
"Reclaim AI","AI Productivity","Smart calendar management for balancing tasks, meetings, and habits.","https://reclaim.ai","curated-trending","2026-03-15"
"Taskade AI","AI Productivity","Collaborative workspace with AI outlining, planning, and execution agents.","https://www.taskade.com","curated-trending","2026-03-15"
"Bardeen","AI Automation","Browser automation and workflow orchestration for repetitive business operations.","https://www.bardeen.ai","curated-trending","2026-03-15"
"n8n","AI Automation","Open workflow automation platform with AI components and custom integrations.","https://n8n.io","curated-trending","2026-03-15"
"Pipedream","AI Automation","Event-driven automation platform for connecting APIs and AI workflows.","https://pipedream.com","curated-trending","2026-03-15"
"IFTTT AI","AI Automation","Automated app workflows with trigger-action logic and AI enhancements.","https://ifttt.com","curated-trending","2026-03-15"
"Tines AI","AI Automation","Security and ops automation platform with structured workflow controls.","https://www.tines.com","curated-trending","2026-03-15"
"Workato AI","AI Automation","Enterprise integration and automation with governance and process visibility.","https://www.workato.com","curated-trending","2026-03-15"
"Tray.ai","AI Automation","Composable automation workflows for go-to-market, support, and operations.","https://tray.ai","curated-trending","2026-03-15"
"Zapier Central","AI Automation","Agent-style automation layer for workflows, routing, and repetitive business tasks.","https://zapier.com","curated-trending","2026-03-15"
"UiPath Autopilot","AI Automation","Automation and process intelligence for enterprise operations and support teams.","https://www.uipath.com","curated-trending","2026-03-15"
"Retool Workflows","AI Automation","Internal workflow automation with AI logic and app-level integration.","https://retool.com","curated-trending","2026-03-15"
"Meta AI","AI Assistant","General assistant experiences integrated across Meta products and services.","https://www.meta.ai","curated-trending","2026-03-15"
"Microsoft Copilot","AI Assistant","Cross-product assistant for writing, analysis, and workplace productivity tasks.","https://copilot.microsoft.com","curated-trending","2026-03-15"
"Pi","AI Assistant","Conversational assistant focused on supportive dialogue and everyday coaching.","https://pi.ai","curated-trending","2026-03-15"
"Inflection for Enterprise","AI Assistant","Assistant deployments with enterprise controls and internal workflow support.","https://inflection.ai","curated-trending","2026-03-15"
"DuckDuckGo AI Chat","AI Assistant","Private-first AI chat experience with minimal account friction.","https://duckduckgo.com/?q=duckduckgo+ai+chat","curated-trending","2026-03-15"
"Le Chat","AI Assistant","Mistral-powered assistant for chat, document work, and practical ideation.","https://chat.mistral.ai","curated-trending","2026-03-15"
"Qwen Chat","AI Assistant","Multimodal assistant experience powered by Alibaba Qwen model family.","https://chat.qwen.ai","curated-trending","2026-03-15"
"Kimi","AI Assistant","Long-context assistant focused on document-heavy reasoning and synthesis.","https://kimi.moonshot.cn","curated-trending","2026-03-15"
"NotebookLM","AI Assistant","Research assistant centered on source-grounded summaries and audio overviews.","https://notebooklm.google","curated-trending","2026-03-15"
"Arc Max","AI Assistant","AI browsing helpers integrated into tab organization and content workflows.","https://arc.net","curated-trending","2026-03-15"
"Surfer SEO","AI Writing","Content optimization platform for SERP-focused planning, drafting, and updates.","https://surferseo.com","curated-trending","2026-03-15"
"Frase","AI Writing","SEO content research and writing workspace for faster ranking article production.","https://www.frase.io","curated-trending","2026-03-15"
"Scalenut","AI Writing","AI writing and SEO planning platform for content teams and marketers.","https://www.scalenut.com","curated-trending","2026-03-15"
"Rytr","AI Writing","Lightweight AI writing assistant for short-form marketing and business copy.","https://rytr.me","curated-trending","2026-03-15"
"Anyword","AI Writing","Performance-focused writing platform with predictive copy scoring for ads.","https://anyword.com","curated-trending","2026-03-15"
"LongShot AI","AI Writing","Long-form writing assistant for research-backed article drafting workflows.","https://www.longshot.ai","curated-trending","2026-03-15"
"INK AI","AI Writing","SEO-driven writing assistant for blogs, landing pages, and product content.","https://inkforall.com","curated-trending","2026-03-15"
"HyperWrite","AI Writing","Workflow writing co-pilot for ideation, rewriting, and email composition.","https://www.hyperwriteai.com","curated-trending","2026-03-15"
"Sudowrite","AI Writing","Creative writing assistant for fiction drafting and narrative improvement.","https://www.sudowrite.com","curated-trending","2026-03-15"
"Hemingway Editor AI","AI Writing","Writing clarity support with readability suggestions and draft refinement.","https://hemingwayapp.com","curated-trending","2026-03-15"
"PhotoRoom","AI Image","Product photo creation and background editing workflows for commerce teams.","https://www.photoroom.com","curated-trending","2026-03-15"
"Pixlr AI","AI Image","Browser-based image editor with AI generation and enhancement utilities.","https://pixlr.com","curated-trending","2026-03-15"
"Canva Magic Studio","AI Image","Design workflow suite with brand templates and AI-assisted visual production.","https://www.canva.com/magic-studio/","curated-trending","2026-03-15"
"Bing Image Creator","AI Image","Prompt-driven image generation powered through Microsoft ecosystem experiences.","https://www.bing.com/images/create","curated-trending","2026-03-15"
"Dream by WOMBO","AI Image","Fast artistic image generation for creators and social-first visuals.","https://www.wombo.ai","curated-trending","2026-03-15"
"Mage Space","AI Image","Model-flexible image generation platform with experimentation-focused controls.","https://www.mage.space","curated-trending","2026-03-15"
"Leonardo Canvas","AI Image","Extended creative workflows for compositing, ideation, and production assets.","https://leonardo.ai","curated-trending","2026-03-15"
"Fooocus","AI Image","Simplified image generation interface for stable visual iteration workflows.","https://github.com/lllyasviel/Fooocus","curated-trending","2026-03-15"
"ComfyUI","AI Image","Node-based visual pipeline builder for advanced generative image workflows.","https://github.com/comfyanonymous/ComfyUI","curated-trending","2026-03-15"
"InvokeAI","AI Image","Professional image generation toolkit with local-first deployment options.","https://www.invoke.ai","curated-trending","2026-03-15"
"Colossyan","AI Video","Avatar-based video creation platform for training and internal communications.","https://www.colossyan.com","curated-trending","2026-03-15"
"D-ID","AI Video","Talking-head video generation from scripts and audio for business content.","https://www.d-id.com","curated-trending","2026-03-15"
"Elai","AI Video","Presenter video generation platform for education and product explainers.","https://elai.io","curated-trending","2026-03-15"
"Hour One","AI Video","AI presenters and studio templates for scalable business video production.","https://hourone.ai","curated-trending","2026-03-15"
"HeyGen Avatars","AI Video","Avatar-led multilingual video workflows for marketing and onboarding content.","https://www.heygen.com","curated-trending","2026-03-15"
"Animoto AI","AI Video","Template-first video builder with automation for quick social exports.","https://animoto.com","curated-trending","2026-03-15"
"Kapwing AI","AI Video","Web video editor with AI subtitling, repurposing, and collaboration tools.","https://www.kapwing.com","curated-trending","2026-03-15"
"Descript Overdub","AI Video","Voice and transcript production workflows for podcasters and video teams.","https://www.descript.com/overdub","curated-trending","2026-03-15"
"Flowjin","AI Video","Converts long-form talks and podcasts into short clips with captions.","https://www.flowjin.com","curated-trending","2026-03-15"
"Vidyo.ai","AI Video","Short-form repurposing assistant for social media publishing cadence.","https://vidyo.ai","curated-trending","2026-03-15"
"Postman AI Agent Builder","AI Code","API-first tools for building and testing model-connected agent workflows.","https://www.postman.com","curated-trending","2026-03-15"
"LangGraph Studio","AI Code","Agent graph orchestration tooling for complex stateful LLM applications.","https://www.langchain.com/langgraph","curated-trending","2026-03-15"
"Vercel AI SDK","AI Code","Developer toolkit for shipping AI-powered web apps with modern frameworks.","https://sdk.vercel.ai","curated-trending","2026-03-15"
"LlamaIndex","AI Code","Framework for retrieval pipelines, data connectors, and agentic workflows.","https://www.llamaindex.ai","curated-trending","2026-03-15"
"Flowise","AI Code","Low-code builder for LLM applications, retrieval flows, and agents.","https://flowiseai.com","curated-trending","2026-03-15"
"Dify","AI Code","Open-source platform for building AI apps with orchestration and observability.","https://dify.ai","curated-trending","2026-03-15"
"CrewAI","AI Code","Multi-agent framework for role-based workflow automation and coordination.","https://www.crewai.com","curated-trending","2026-03-15"
"AutoGen","AI Code","Framework for multi-agent conversations and autonomous task execution flows.","https://microsoft.github.io/autogen/","curated-trending","2026-03-15"
"Semantic Kernel","AI Code","Microsoft framework for integrating LLM planning into production software.","https://learn.microsoft.com/semantic-kernel/","curated-trending","2026-03-15"
"Open Interpreter","AI Code","Local-first coding assistant for command execution and technical automation.","https://github.com/OpenInterpreter/open-interpreter","curated-trending","2026-03-15"
"Cartesia","AI Voice","Low-latency speech generation stack for conversational and product experiences.","https://cartesia.ai","curated-trending","2026-03-15"
"Hume AI","AI Voice","Voice intelligence and expression-aware conversational AI platform.","https://www.hume.ai","curated-trending","2026-03-15"
"Vapi","AI Voice","Developer infrastructure for production voice agents and call workflows.","https://vapi.ai","curated-trending","2026-03-15"
"Retell AI","AI Voice","Voice agent platform for customer support and outbound call automation.","https://www.retellai.com","curated-trending","2026-03-15"
"Bland AI","AI Voice","Phone agent infrastructure for high-volume conversational workflows.","https://www.bland.ai","curated-trending","2026-03-15"
